home_team,away_team,week,season,pred_home_win,actual_home_win,book_home_ml_odds,book_away_ml_odds,book_home_spread,book_home_spread_odds,book_away_spread,book_away_spread_odds,pred_home_spread,actual_home_spread,pred_home_cover,actual_home_cover,spread_correct,spread_winnings,ml_correct,ml_winnings,naive_spread_winnings,naive_ml_winnings,pred_vs_book_spread
Colorado State,Wyoming,9,2014,1,1,NA,NA,NA,NA,NA,NA,-14.82,-14,NA,NA,NA,NA,1,NA,NA,NA,NA
Washington State,Wyoming,3,2015,1,1,NA,NA,NA,NA,NA,NA,-10.1,-17,NA,NA,NA,NA,1,NA,NA,NA,NA
Utah State,Wyoming,9,2015,1,1,NA,NA,NA,NA,NA,NA,-15.05,-31,NA,NA,NA,NA,1,NA,NA,NA,NA
Nebraska,Wyoming,2,2016,1,1,-2600,1450,-25.5,-106,26,-110,-12.78,-35,1,0,0,0,1,1.038462,0.9545455,1.038462,12.72
Utah State,Wyoming,7,2017,1,0,100,-120,1,-110,-1,-110,-1.69,5,0,1,0,0,0,0,0.9545455,1.833333,2.69
Boise State,Wyoming,8,2017,1,1,-750,525,-15.5,-110,15.5,-110,-5.44,-10,1,1,1,1.909091,1,1.133333,0.9545455,1.133333,10.06
San José State,Wyoming,13,2017,0,1,NA,NA,NA,NA,NA,NA,18.74,-3,NA,NA,NA,NA,0,0,NA,NA,NA
Missouri,Wyoming,2,2018,1,1,-1429,880,-19.5,-110,19.5,-110,-17.42,-27,1,0,0,0,1,1.069979,0.9545455,1.069979,2.08
Hawai'i,Wyoming,6,2018,1,1,150,-170,3.5,-110,-3.5,-110,-15.6,-4,0,0,1,1.909091,1,2.5,0.9545455,0,19.1
New Mexico,Wyoming,13,2018,0,0,225,-265,7,-110,-7,-110,7.7,28,1,1,1,1.909091,1,1.377358,0.9545455,1.377358,0.7
Northern Illinois,Wyoming,2,2021,0,0,NA,NA,NA,NA,NA,NA,3.18,7,NA,NA,NA,NA,1,NA,NA,NA,NA
Utah State,Wyoming,12,2021,1,0,-220,172,-5.5,-110,5.5,-112,-9.76,27,0,1,0,0,0,0,0.9545455,0,4.26
New Mexico,Wyoming,6,2022,0,0,135,-172,3.5,-112,-3.5,-108,0.06,13,0,1,0,0,1,1.581395,0.9464286,1.581395,3.44
Colorado State,Wyoming,11,2022,0,0,270,-345,8.5,-110,-8.5,-110,10.4,1,1,0,0,0,1,1.289855,0.9545455,1.289855,1.9
Fresno State,Wyoming,13,2022,1,1,-630,455,-14,-110,14,-110,-9.47,-30,1,0,0,0,1,1.15873,0.9545455,1.15873,4.53
Texas,Wyoming,3,2023,1,1,-7000,1895,-30.5,-110,30.5,-110,-10.8,-21,1,1,1,1.909091,1,1.014286,0.9545455,1.014286,19.7
North Texas,Wyoming,4,2024,1,1,-250,200,-7,-109,7,-111,-13.47,-27,0,0,1,1.900901,1,1.4,0.9504505,1.4,6.47
Air Force,Colorado State,8,2024,0,0,191,-234,6,-109,-6,-111,7.76,8,1,1,1,1.917431,1,1.42735,0.9587156,1.42735,1.76
Air Force,Fresno State,11,2024,0,1,287,-367,10,-112,-10,-107,8.05,-8,0,0,1,1.934579,0,0,0.9672897,0,1.95
Air Force,Oregon State,12,2024,0,1,120,-142,3,-115,-3,-105,0.26,-28,0,0,1,1.952381,0,0,0.9761905,0,2.74
Akron,Eastern Michigan,9,2024,1,1,152,-184,2.5,-105,-2.5,-115,-1.6,-4,0,0,1,1.869565,1,2.52,0.9347826,0,4.1
Akron,Buffalo,10,2024,1,0,-110,-110,1,-115,-1,-105,-10.72,11,0,1,0,0,0,0,0.9347826,1.909091,11.72
Akron,Toledo,14,2024,0,1,NA,NA,NA,NA,NA,NA,4.28,-7,NA,NA,NA,NA,0,0,NA,NA,NA
Alabama,South Carolina,7,2024,1,1,-1895,1000,-21.5,-108,21.5,-112,-20.62,-2,1,1,1,1.925926,1,1.05277,0.962963,1.05277,0.88
Alabama,Missouri,9,2024,0,1,-779,512,-16,-110,16,-110,0.85,-34,1,0,0,0,0,0,0.9545455,1.12837,16.85
Alabama,Auburn,14,2024,1,1,NA,NA,NA,NA,NA,NA,-0.44,-14,NA,NA,NA,NA,1,NA,NA,NA,NA
App State,Georgia State,9,2024,1,1,-275,220,-7.5,-108,7.5,-112,-2.58,-7,1,1,1,1.925926,1,1.363636,0.962963,1.363636,4.92
App State,Old Dominion,10,2024,0,1,122,-146,2.5,-100,-2.5,-118,5.51,-8,1,0,0,0,0,0,0.9237288,0,3.01
App State,James Madison,13,2024,0,1,220,-272,7.5,-112,-7.5,-107,5.92,-14,0,0,1,1.934579,0,0,0.9672897,0,1.58
Arizona,Colorado,8,2024,0,0,-136,114,-2.5,-111,2.5,-109,2.02,27,1,1,1,1.900901,1,2.14,0.9504505,0,4.52
Arizona,West Virginia,9,2024,0,0,-218,180,-5.5,-109,5.5,-111,12.71,5,1,1,1,1.917431,1,2.8,0.9587156,0,18.21
Arizona,Houston,12,2024,0,1,-115,-105,-1,-110,1,-110,12.47,-24,1,0,0,0,0,0,0.9545455,1.869565,13.47
Arizona,Arizona State,14,2024,0,0,NA,NA,NA,NA,NA,NA,8.93,42,NA,NA,NA,NA,1,NA,NA,NA,NA
Arizona State,UCF,11,2024,1,1,-144,120,-2.5,-115,2.5,-105,-11.57,-4,0,0,1,1.952381,1,1.694444,0.9761905,1.694444,9.07
Arizona State,BYU,13,2024,1,1,-167,139,-3.5,-105,3.5,-115,-4.78,-5,0,0,1,1.869565,1,1.598802,0.9347826,1.598802,1.28
Arizona State,Iowa State,15,2024,1,NA,-100,-120,1.5,-110,-1.5,-110,-9.78,NA,0,NA,NA,NA,NA,NA,NA,NA,11.28
Arizona State,Iowa State,15,2024,1,NA,-100,-120,1.5,-110,-1.5,-110,-9.78,NA,0,NA,NA,NA,NA,NA,NA,NA,11.28
Arkansas,LSU,8,2024,1,0,130,-155,3,-105,-3,-115,-2.26,24,0,1,0,0,0,0,0.9761905,1.645161,5.26
