home_team,away_team,week,season,pred_home_win,actual_home_win,book_home_ml_odds,book_away_ml_odds,book_home_spread,book_home_spread_odds,book_away_spread,book_away_spread_odds,pred_home_spread,actual_home_spread,pred_home_cover,actual_home_cover,spread_correct,spread_winnings,ml_correct,ml_winnings,naive_spread_winnings,naive_ml_winnings,pred_vs_book_spread
Georgia State,Air Force,3,2014,0,0,NA,NA,NA,NA,NA,NA,2.58,10,NA,NA,NA,NA,1,NA,NA,NA,NA
San Diego State,Air Force,13,2014,0,1,NA,NA,NA,NA,NA,NA,6.29,-16,NA,NA,NA,NA,0,0,NA,NA,NA
Navy,Air Force,5,2015,1,1,NA,NA,NA,NA,NA,NA,-11.16,-22,NA,NA,NA,NA,1,NA,NA,NA,NA
Wyoming,Air Force,6,2016,0,1,425,-540,13,-106,-13,-110,5.19,-9,0,0,1,1.90909090909091,0,0,0.954545454545455,0,7.81
New Mexico,Air Force,5,2017,1,1,130,-150,3,-110,-3,-110,-1.62,-18,0,0,1,1.90909090909091,1,2.3,0.954545454545455,0,4.62
San Diego State,Air Force,7,2018,1,1,-380,303,-11,-110,11,-110,-1.96,-4,1,1,1,1.90909090909091,1,1.26315789473684,0.954545454545455,1.26315789473684,9.04
Army,Air Force,10,2018,1,1,-205,175,-4.5,-110,4.5,-110,-10.93,-3,0,1,0,0,1,1.48780487804878,0.954545454545455,1.48780487804878,6.43
Colorado,Air Force,3,2019,0,0,-160,135,-3,-110,3,-106,5.25,7,1,1,1,1.90909090909091,1,2.35,0.954545454545455,0,8.25
Boise State,Air Force,4,2019,1,1,-312,247,-7.5,-110,7.5,-109,-1.29,-11,1,0,0,0,1,1.32051282051282,0.958715596330275,1.32051282051282,6.21
New Mexico,Air Force,13,2019,0,0,1162,-2500,24.5,-110,-24.5,-110,16.34,22,0,0,1,1.90909090909091,1,1.04,0.954545454545455,1.04,8.16
Utah State,Air Force,14,2020,0,0,385,-515,13.5,-110,-13.5,-110,10.25,28,0,1,0,0,1,1.19417475728155,0.954545454545455,1.19417475728155,3.25
Navy,Air Force,2,2021,0,0,190,-235,6,-110,-6,-115,16.2,20,1,1,1,1.90909090909091,1,1.42553191489362,0.954545454545455,1.42553191489362,10.2
Army,Air Force,10,2022,1,0,215,-275,7,-108,-7,-112,-0.28,6,0,0,1,1.89285714285714,0,0,0.946428571428571,1.36363636363636,7.28
San Diego State,Air Force,13,2022,0,0,108,-130,2,-110,-2,-110,3.63,10,1,1,1,1.90909090909091,1,1.76923076923077,0.954545454545455,1.76923076923077,1.63
Penn State,Akron,2,2014,1,1,NA,NA,NA,NA,NA,NA,-8.23,-18,NA,NA,NA,NA,1,NA,NA,NA,NA
Buffalo,Akron,12,2014,0,1,NA,NA,NA,NA,NA,NA,5.45,-31,NA,NA,NA,NA,0,0,NA,NA,NA
Kent State,Akron,14,2014,0,1,NA,NA,NA,NA,NA,NA,7.36,-3,NA,NA,NA,NA,0,0,NA,NA,NA
Bowling Green,Akron,7,2015,1,1,NA,NA,NA,NA,NA,NA,-5.93,-49,NA,NA,NA,NA,1,NA,NA,NA,NA
Kent State,Akron,5,2016,0,0,310,-380,8.5,-110,-8.5,-105,7.39,4,0,0,1,1.95238095238095,1,1.26315789473684,0.976190476190476,1.26315789473684,1.11
Buffalo,Akron,9,2016,0,1,765,-1130,19.5,-110,-19.5,-110,8.66,-21,0,0,1,1.90909090909091,0,0,0.954545454545455,0,10.84
Western Michigan,Akron,7,2017,1,0,-495,370,-12.5,-110,12.5,-110,-13.04,1,0,1,0,0,0,0,0.954545454545455,0,0.539999999999999
Toledo,Akron,8,2017,1,1,-700,500,-15,-110,15,-110,-6.72,-27,1,0,0,0,1,1.14285714285714,0.954545454545455,1.14285714285714,8.28
Miami (OH),Akron,11,2017,1,1,-450,350,-11,-110,11,-110,-2.7,-10,1,1,1,1.90909090909091,1,1.22222222222222,0.954545454545455,1.22222222222222,8.3
Northwestern,Akron,3,2018,0,0,-1500,876,-21,-110,21,-110,2.5,5,1,1,1,1.90909090909091,1,9.76,0.954545454545455,0,23.5
Buffalo,Akron,7,2018,1,1,-420,330,-11,-110,11,-110,-13.19,-18,0,0,1,1.90909090909091,1,1.23809523809524,0.954545454545455,1.23809523809524,2.19
Eastern Michigan,Akron,11,2018,1,1,-450,350,-12,-110,12,-110,-4.28,-20,1,0,0,0,1,1.22222222222222,0.954545454545455,1.22222222222222,7.72
Buffalo,Akron,15,2020,1,1,-8000,1800,-33,-115,33,-105,-24.51,-49,1,0,0,0,1,1.0125,0.976190476190476,1.0125,8.49
Ohio State,Akron,4,2021,1,1,NA,NA,NA,NA,NA,NA,-22.87,-52,NA,NA,NA,NA,1,NA,NA,NA,NA
Tennessee,Akron,3,2022,1,1,-1e+05,8000,-47.5,-110,47.5,-110,-32.08,-57,1,0,0,0,1,1.001,0.954545454545455,1.001,15.42
Bowling Green,Akron,8,2023,1,1,-305,240,-7.5,-110,7.5,-110,-8.17,-27,0,0,1,1.90909090909091,1,1.32786885245902,0.954545454545455,1.32786885245902,0.67
Ohio,Akron,5,2024,1,1,-325,260,-8.5,-110,8.5,-110,-14.79,-20,0,0,1,1.90909090909091,1,1.30769230769231,0.954545454545455,1.30769230769231,6.29
Tennessee,Alabama,9,2014,0,0,NA,NA,NA,NA,NA,NA,9.05,14,NA,NA,NA,NA,1,NA,NA,NA,NA
LSU,Alabama,11,2014,0,0,NA,NA,NA,NA,NA,NA,0.73,7,NA,NA,NA,NA,1,NA,NA,NA,NA
Missouri,Alabama,15,2014,0,0,NA,NA,NA,NA,NA,NA,2.8,29,NA,NA,NA,NA,1,NA,NA,NA,NA
Texas A&M,Alabama,7,2015,0,0,NA,NA,NA,NA,NA,NA,1.92,18,NA,NA,NA,NA,1,NA,NA,NA,NA
Tennessee,Alabama,7,2016,0,0,450,-550,13.5,-105,-13.5,-109,12.17,39,0,1,0,0,1,1.18181818181818,0.976190476190476,1.18181818181818,1.33
Auburn,Alabama,13,2017,1,1,180,-220,5,-110,-5,-110,-3.65,-12,0,0,1,1.90909090909091,1,2.8,0.954545454545455,0,8.65
Arkansas,Alabama,6,2018,0,0,1350,-2300,34.5,-110,-34.5,-110,21.24,34,0,0,1,1.90909090909091,1,1.04347826086957,0.954545454545455,1.04347826086957,13.26
LSU,Alabama,10,2018,0,0,440,-565,13.5,-110,-13.5,-110,8.62,29,0,1,0,0,1,1.17699115044248,0.954545454545455,1.17699115044248,4.88
South Carolina,Alabama,3,2019,0,0,2000,-5000,26.5,-110,-26.5,-110,10.12,24,0,0,1,1.90909090909091,1,1.02,0.954545454545455,1.02,16.38
Auburn,Alabama,14,2019,0,1,150,-180,3.5,-110,-3.5,-110,1.38,-3,0,0,1,1.90909090909091,0,0,0.954545454545455,0,2.12
Florida,Alabama,16,2020,0,0,NA,NA,NA,NA,NA,NA,7.04,6,NA,NA,NA,NA,1,NA,NA,NA,NA
Texas A&M,Alabama,6,2021,0,1,685,-1211,19,-112,-19,-108,6.27,-3,0,0,1,1.92592592592593,0,0,0.962962962962963,0,12.73
Texas,Alabama,2,2022,1,0,802,-1667,21,-112,-21,-112,-5.75,1,0,0,1,1.89285714285714,0,0,0.946428571428571,1.05998800239952,26.75
Tennessee,Alabama,7,2022,1,1,262,-355,8.5,-109,-8.5,-111,-2.92,-3,0,0,1,1.9009009009009,1,3.62,0.950450450450451,0,11.42
Mississippi State,Alabama,5,2023,0,0,600,-900,16.5,-110,-16.5,-110,7.81,23,0,1,0,0,1,1.11111111111111,0.954545454545455,1.11111111111111,8.69
Texas A&M,Alabama,6,2023,1,0,NA,NA,NA,NA,NA,NA,-0.84,6,NA,NA,NA,NA,0,0,NA,NA,NA
Auburn,Alabama,13,2023,0,0,430,-600,13.5,-110,-13.5,-110,5.84,3,0,0,1,1.90909090909091,1,1.16666666666667,0.954545454545455,1.16666666666667,7.66
Georgia Southern,App State,5,2014,1,1,NA,NA,NA,NA,NA,NA,-7.2,-20,NA,NA,NA,NA,1,NA,NA,NA,NA
UL Monroe,App State,7,2015,0,0,NA,NA,NA,NA,NA,NA,17.81,45,NA,NA,NA,NA,1,NA,NA,NA,NA
Georgia State,App State,13,2017,1,0,195,-245,6,-110,-6,-110,-3.17,21,0,1,0,0,0,0,0.954545454545455,1.40816326530612,9.17
Georgia Southern,App State,9,2018,0,1,335,-425,11,-110,-11,-110,2.37,-20,0,0,1,1.90909090909091,0,0,0.954545454545455,0,8.63
Troy,App State,12,2021,0,0,285,-420,10,-110,-10,-110,13.48,38,1,1,1,1.90909090909091,1,1.23809523809524,0.954545454545455,1.23809523809524,3.48
Coastal Carolina,App State,10,2022,1,1,131,-158,-2.5,-160,2.5,125,-2.83,-7,0,0,1,2.25,1,2.31,1.125,0,0.33
James Madison,App State,12,2023,1,0,-400,310,-10,-110,10,-110,-7.7,3,1,1,1,1.90909090909091,0,0,0.954545454545455,0,2.3
East Carolina,App State,3,2024,1,0,-110,-115,1.5,-117,-1.5,-105,-25.33,2,0,1,0,0,0,0,0.927350427350427,1.8695652173913,26.83
Washington State,Arizona,9,2014,0,0,NA,NA,NA,NA,NA,NA,7.19,22,NA,NA,NA,NA,1,NA,NA,NA,NA
Oregon,Arizona,15,2014,1,1,NA,NA,NA,NA,NA,NA,-13.06,-38,NA,NA,NA,NA,1,NA,NA,NA,NA
USC,Arizona,10,2015,1,1,NA,NA,NA,NA,NA,NA,-11.53,-8,NA,NA,NA,NA,1,NA,NA,NA,NA
Oregon State,Arizona,12,2016,1,1,-165,140,-3,-110,3,-110,-4.12,-25,0,0,1,1.90909090909091,1,1.60606060606061,0.954545454545455,1.60606060606061,1.12
UTEP,Arizona,3,2017,0,0,1300,-2800,25.5,-110,-25.5,-110,21.3,47,0,1,0,0,1,1.03571428571429,0.954545454545455,1.03571428571429,4.2
USC,Arizona,10,2017,1,1,-265,215,-7,-110,7,-110,-5.01,-14,1,0,0,0,1,1.37735849056604,0.954545454545455,1.37735849056604,1.99
Oregon,Arizona,12,2017,0,1,-150,130,-3,-110,3,-110,3.41,-20,1,0,0,0,0,0,0.954545454545455,1.66666666666667,6.41
Arizona State,Arizona,13,2017,1,1,110,-130,2,-110,-2,-110,-0.52,-12,0,0,1,1.90909090909091,1,2.1,0.954545454545455,0,2.52
UCLA,Arizona,8,2018,0,1,-340,280,-10,-110,10,-110,5.54,-1,1,1,1,1.90909090909091,0,0,0.954545454545455,1.29411764705882,15.54
USC,Arizona,8,2019,1,1,-378,292,-10.5,-107,10,-112,-0.03,-27,1,0,0,0,1,1.26455026455026,0.946428571428571,1.26455026455026,10.47
Oregon,Arizona,12,2019,1,1,-3334,1293,-27,-112,27,-107,-21.03,-28,1,0,0,0,1,1.02999400119976,0.967289719626168,1.02999400119976,5.97
Arizona State,Arizona,13,2021,1,1,-1389,774,-20.5,-108,20.5,-114,-17.02,-23,1,0,0,0,1,1.07199424046076,0.93859649122807,1.07199424046076,3.48
California,Arizona,4,2022,1,1,-178,146,-3.5,-107,3.5,-110,-4.87,-18,0,0,1,1.90909090909091,1,1.56179775280899,0.954545454545455,1.56179775280899,1.37
New Mexico,Arizona State,2,2014,0,0,NA,NA,NA,NA,NA,NA,13.89,35,NA,NA,NA,NA,1,NA,NA,NA,NA
Washington State,Arizona State,10,2015,1,1,NA,NA,NA,NA,NA,NA,-5.79,-14,NA,NA,NA,NA,1,NA,NA,NA,NA
California,Arizona State,13,2015,1,1,NA,NA,NA,NA,NA,NA,-2.66,-2,NA,NA,NA,NA,1,NA,NA,NA,NA
Oregon,Arizona State,9,2016,0,1,-370,295,-9.5,-110,9.5,-110,8.24,-19,1,0,0,0,0,0,0.954545454545455,1.27027027027027,17.74
Washington,Arizona State,12,2016,1,1,NA,NA,NA,NA,NA,NA,-20.48,-26,NA,NA,NA,NA,1,NA,NA,NA,NA
Stanford,Arizona State,5,2017,1,1,-880,630,-17,-110,17,-110,-10.21,-10,1,1,1,1.90909090909091,1,1.11363636363636,0.954545454545455,1.11363636363636,6.79
California,Arizona State,5,2019,1,0,-225,180,-4.5,-110,4.5,-110,-1.67,7,1,1,1,1.90909090909091,0,0,0.954545454545455,0,2.83
Oregon State,Arizona State,12,2019,0,1,100,-120,1.5,-110,-1.5,-112,6.38,-1,1,0,0,0,0,0,0.946428571428571,0,4.88
BYU,Arizona State,3,2021,0,1,136,-165,3,-106,-3,-115,1.49,-10,0,0,1,1.8695652173913,0,0,0.934782608695652,0,1.51
Utah,Arizona State,7,2021,0,1,-120,-102,-1.5,-110,1.5,-110,6.2,-14,1,0,0,0,0,0,0.954545454545455,1.83333333333333,7.7
Washington State,Arizona State,11,2022,1,1,-345,265,-9.5,-112,9.5,-109,-10.59,-10,0,0,1,1.91743119266055,1,1.28985507246377,0.958715596330275,1.28985507246377,1.09
California,Arizona State,5,2023,1,1,-485,370,-13.5,-115,13.5,-108,-13.45,-3,1,1,1,1.8695652173913,1,1.20618556701031,0.934782608695652,1.20618556701031,0.0500000000000007
Utah,Arizona State,10,2023,1,1,-400,310,-10,-115,10,-110,-7.14,-52,1,0,0,0,1,1.25,0.954545454545455,1.25,2.86
UCLA,Arizona State,11,2023,1,0,-650,455,-14,-112,14,-115,-17.69,10,0,1,0,0,0,0,0.946428571428571,0,3.69
Texas Tech,Arizona State,4,2024,0,1,-210,160,-4.5,-112,4.5,-115,6.35,-8,1,0,0,0,0,0,0.934782608695652,1.47619047619048,10.85
Tennessee,Arkansas,5,2015,1,0,NA,NA,NA,NA,NA,NA,-10.72,4,NA,NA,NA,NA,0,0,NA,NA,NA
LSU,Arkansas,11,2015,1,0,NA,NA,NA,NA,NA,NA,-4.71,17,NA,NA,NA,NA,0,0,NA,NA,NA
TCU,Arkansas,2,2016,1,0,-450,365,-10.5,-110,10.5,-110,-0.95,3,1,1,1,1.90909090909091,0,0,0.954545454545455,0,9.55
South Carolina,Arkansas,6,2017,1,1,140,-165,3,100,-3,-120,-9.65,-26,0,0,1,1.83333333333333,1,2.4,0.916666666666667,0,12.65
Kentucky,Arkansas,7,2019,1,1,-182,150,-4,-110,4,-110,-1.33,-4,1,0,0,0,1,1.54945054945055,0.954545454545455,1.54945054945055,2.67
LSU,Arkansas,13,2019,1,1,NA,NA,-41.5,-111,41.5,-107,-24.69,-36,1,1,1,1.9009009009009,1,NA,0.950450450450451,NA,16.81
Texas A&M,Arkansas,9,2020,1,1,-585,445,-14.5,-110,14.5,-110,-7.73,-11,1,1,1,1.90909090909091,1,1.17094017094017,0.954545454545455,1.17094017094017,6.77
Florida,Arkansas,11,2020,1,1,-775,529,-17,-110,17,-110,-10.57,-28,1,0,0,0,1,1.12903225806452,0.954545454545455,1.12903225806452,6.43
Auburn,Arkansas,9,2022,0,0,136,-167,3.5,-113,-3.5,-108,6.1,14,1,1,1,1.88495575221239,1,1.59880239520958,0.942477876106195,1.59880239520958,2.6
Texas State,Arkansas State,13,2014,0,1,NA,NA,NA,NA,NA,NA,1.31,-18,NA,NA,NA,NA,0,0,NA,NA,NA
Georgia State,Arkansas State,10,2016,0,0,155,-185,4,-110,-4,-110,5.58,15,1,1,1,1.90909090909091,1,1.54054054054054,0.954545454545455,1.54054054054054,1.58
Louisiana,Arkansas State,13,2016,0,1,190,-235,6,-110,-6,-110,1.21,-5,0,0,1,1.90909090909091,0,0,0.954545454545455,0,4.79
Texas State,Arkansas State,14,2016,0,0,1390,-3460,25.5,-110,-25.5,-110,16.67,22,0,0,1,1.90909090909091,1,1.02890173410405,0.954545454545455,1.02890173410405,8.83
SMU,Arkansas State,4,2017,1,1,-150,130,-3,-105,3,-115,-2.21,-23,1,0,0,0,1,1.66666666666667,0.934782608695652,1.66666666666667,0.79
Alabama,Arkansas State,2,2018,1,1,-25000,9000,-35.5,-110,35.5,-110,-15.9,-50,1,0,0,0,1,1.004,0.954545454545455,1.004,19.6
Troy,Arkansas State,5,2019,1,0,-282,222,-7,-110,7,-110,-19.7,7,0,1,0,0,0,0,0.954545454545455,0,12.7
UL Monroe,Arkansas State,10,2019,0,0,-105,-112,1,-101,-0.5,-114,4.19,7,1,1,1,1.99009900990099,1,1.89285714285714,0.995049504950495,1.89285714285714,3.19
South Alabama,Arkansas State,14,2019,0,1,302,-395,10.5,-110,-10.5,-110,7.92,-4,0,0,1,1.90909090909091,0,0,0.954545454545455,0,2.58
App State,Arkansas State,8,2020,1,1,NA,NA,NA,NA,NA,NA,-9.34,-28,NA,NA,NA,NA,1,NA,NA,NA,NA
Tulsa,Arkansas State,4,2021,1,1,NA,NA,NA,NA,NA,NA,-10.34,-7,NA,NA,NA,NA,1,NA,NA,NA,NA
Georgia State,Arkansas State,12,2021,1,1,-769,520,-15.5,-109,15.5,-111,-11.87,-8,1,1,1,1.91743119266055,1,1.13003901170351,0.958715596330275,1.13003901170351,3.63
Memphis,Arkansas State,3,2022,1,1,NA,NA,NA,NA,NA,NA,-5.93,-12,NA,NA,NA,NA,1,NA,NA,NA,NA
UL Monroe,Arkansas State,9,2023,0,0,-115,-105,-1,-105,1,-115,2.68,10,1,1,1,1.95238095238095,1,1.95238095238095,0.976190476190476,0,3.68
Wake Forest,Army,4,2014,1,1,NA,NA,NA,NA,NA,NA,-7.07,-3,NA,NA,NA,NA,1,NA,NA,NA,NA
Notre Dame,Army,11,2016,1,1,-600,450,-14,-110,14,-110,-0.24,-38,1,0,0,0,1,1.16666666666667,0.954545454545455,1.16666666666667,13.76
Tulane,Army,4,2017,1,1,-150,130,-3,-110,3,-110,-0.33,-4,1,0,0,0,1,1.66666666666667,0.954545454545455,1.66666666666667,2.67
North Texas,Army,12,2017,1,1,-125,105,-1.5,-110,1.5,-110,-4.32,-3,0,0,1,1.90909090909091,1,1.8,0.954545454545455,1.8,2.82
Tulane,Army,11,2020,1,1,NA,NA,NA,NA,NA,NA,-0.25,-26,NA,NA,NA,NA,1,NA,NA,NA,NA
Ball State,Army,5,2021,0,1,295,-390,10,-105,-10,-115,17.01,-12,1,0,0,0,0,0,0.934782608695652,0,7.01
Liberty,Army,13,2021,0,0,-163,133,-3.5,-111,3.5,-109,2.62,15,1,1,1,1.9009009009009,1,2.33,0.950450450450451,0,6.12
Troy,Army,11,2022,1,1,-342,270,-8.5,-110,8.5,-110,-10.65,-1,0,1,0,0,1,1.29239766081871,0.954545454545455,1.29239766081871,2.15
Syracuse,Army,4,2023,1,1,-520,385,-13,-110,13,-110,-19.65,-13,0,0,1,1.90909090909091,1,1.19230769230769,0.954545454545455,1.19230769230769,6.65
Ole Miss,Auburn,10,2014,1,0,NA,NA,NA,NA,NA,NA,-5.31,4,NA,NA,NA,NA,0,0,NA,NA,NA
Kentucky,Auburn,7,2015,1,0,NA,NA,NA,NA,NA,NA,-6.78,3,NA,NA,NA,NA,0,0,NA,NA,NA
Clemson,Auburn,2,2017,1,1,-235,190,-6,-110,6,-110,-8.92,-8,0,0,1,1.90909090909091,1,1.42553191489362,0.954545454545455,1.42553191489362,2.92
LSU,Auburn,7,2017,0,1,200,-250,6.5,-110,-6.5,-110,9.03,-4,1,0,0,0,0,0,0.954545454545455,0,2.53
Arkansas,Auburn,8,2017,0,0,550,-800,17,-110,-17,-110,16.71,32,0,1,0,0,1,1.125,0.954545454545455,1.125,0.289999999999999
Georgia,Auburn,11,2018,1,1,-535,410,-13.5,-110,13.5,-110,-8.64,-17,1,0,0,0,1,1.18691588785047,0.954545454545455,1.18691588785047,4.86
Alabama,Auburn,13,2018,1,1,-4000,2000,-26.5,-110,26.5,-110,-17.03,-31,1,0,0,0,1,1.025,0.954545454545455,1.025,9.47
LSU,Auburn,9,2019,1,1,-480,360,-11.5,-110,11.5,-110,-9.02,-3,1,1,1,1.90909090909091,1,1.20833333333333,0.954545454545455,1.20833333333333,2.48
Texas A&M,Auburn,10,2021,1,1,-193,156,-4.5,-112,4.5,-110,-8.49,-17,0,0,1,1.90909090909091,1,1.51813471502591,0.954545454545455,1.51813471502591,3.99
Mississippi State,Auburn,10,2022,1,1,-490,360,-12.5,-110,12.5,-112,-12.56,-6,0,1,0,0,1,1.20408163265306,0.954545454545455,1.20408163265306,0.0600000000000005
Texas A&M,Auburn,4,2023,1,1,-375,280,-9.5,-110,9.5,-110,-0.64,-17,1,0,0,0,1,1.26666666666667,0.954545454545455,1.26666666666667,8.86
California,BYU,14,2014,0,0,NA,NA,NA,NA,NA,NA,9.72,7,NA,NA,NA,NA,1,NA,NA,NA,NA
San José State,BYU,10,2015,0,0,NA,NA,NA,NA,NA,NA,11.87,1,NA,NA,NA,NA,1,NA,NA,NA,NA
West Virginia,BYU,4,2016,1,1,-330,275,-8.5,-110,8.5,-105,-13.51,-3,0,1,0,0,1,1.3030303030303,0.954545454545455,1.3030303030303,5.01
Cincinnati,BYU,10,2016,1,0,255,-315,7.5,-110,-7.5,-110,-1.46,17,0,1,0,0,0,0,0.954545454545455,1.31746031746032,8.96
Mississippi State,BYU,7,2017,1,1,-1680,945,-22.5,-110,22.5,-110,-18.76,-25,1,0,0,0,1,1.05952380952381,0.954545454545455,1.05952380952381,3.74
East Carolina,BYU,8,2017,0,1,175,-210,5.5,-110,-5.5,-110,0.01,-16,0,0,1,1.90909090909091,0,0,0.954545454545455,0,5.49
Hawai'i,BYU,13,2017,0,0,140,-165,3,-105,-3,-115,1.35,10,0,1,0,0,1,1.60606060606061,0.976190476190476,1.60606060606061,1.65
Washington,BYU,5,2018,1,1,NA,NA,NA,NA,NA,NA,-10.58,-28,NA,NA,NA,NA,1,NA,NA,NA,NA
Utah,BYU,13,2018,1,1,-417,315,-10.5,-110,10.5,-110,-7.18,-8,1,1,1,1.90909090909091,1,1.23980815347722,0.954545454545455,1.23980815347722,3.32
San Diego State,BYU,14,2019,1,1,165,-197,4.5,-110,-4.5,-110,-2.46,-10,0,0,1,1.90909090909091,1,2.65,0.954545454545455,0,6.96
Boise State,BYU,10,2020,1,0,170,-200,5.5,-102,-5.5,-117,-5.44,34,0,1,0,0,0,0,0.990196078431373,1.5,10.94
Coastal Carolina,BYU,14,2020,0,1,280,-357,10,-115,-10,-103,4.72,-5,0,0,1,1.97087378640777,0,0,0.985436893203884,0,5.28
Utah State,BYU,5,2021,1,0,242,-301,8,-110,-8,-110,-2.25,14,0,1,0,0,0,0,0.954545454545455,1.33222591362126,10.25
Baylor,BYU,7,2021,1,1,NA,NA,NA,NA,NA,NA,-1.84,-14,NA,NA,NA,NA,1,NA,NA,NA,NA
Washington State,BYU,8,2021,0,0,NA,NA,NA,NA,NA,NA,2.21,2,NA,NA,NA,NA,1,NA,NA,NA,NA
Liberty,BYU,8,2022,1,1,210,-278,7,-107,-7,-113,-10.11,-27,0,0,1,1.88495575221239,1,3.1,0.942477876106195,0,17.11
Stanford,BYU,13,2022,0,0,200,-250,6.5,-110,-6.5,-110,8.86,9,1,1,1,1.90909090909091,1,1.4,0.954545454545455,1.4,2.36
TCU,BYU,7,2023,0,1,-215,176,-5.5,-107,5.5,-112,1.01,-33,1,0,0,0,0,0,0.946428571428571,1.46511627906977,6.51
Texas,BYU,9,2023,1,1,-1300,760,-20.5,-110,20.5,-110,-14.52,-29,1,0,0,0,1,1.07692307692308,0.954545454545455,1.07692307692308,5.98
SMU,BYU,2,2024,1,0,-500,380,-12.5,-110,12.5,-110,-18.33,3,0,1,0,0,0,0,0.954545454545455,0,5.83
Baylor,BYU,5,2024,0,0,-155,130,-3,-111,3,-109,4.25,6,1,1,1,1.9009009009009,1,2.3,0.950450450450451,0,7.25
Central Michigan,Ball State,8,2014,1,0,NA,NA,NA,NA,NA,NA,-13.64,3,NA,NA,NA,NA,0,0,NA,NA,NA
Western Michigan,Ball State,10,2015,1,1,NA,NA,NA,NA,NA,NA,-15.52,-47,NA,NA,NA,NA,1,NA,NA,NA,NA
Toledo,Ball State,12,2016,1,1,-1410,855,-20,-110,20,-110,-17.67,-18,1,1,1,1.90909090909091,1,1.0709219858156,0.954545454545455,1.0709219858156,2.33
Miami (OH),Ball State,13,2016,1,1,-290,235,-7,-115,7,-105,-6.95,-1,1,1,1,1.8695652173913,1,1.3448275862069,0.934782608695652,1.3448275862069,0.0499999999999998
Western Kentucky,Ball State,4,2017,1,1,-540,395,-12.5,-110,12.5,-110,-2.16,-12,1,1,1,1.90909090909091,1,1.18518518518519,0.954545454545455,1.18518518518519,10.34
Toledo,Ball State,10,2018,1,1,-1500,1000,-20,-110,20,-110,-11.52,-32,1,0,0,0,1,1.06666666666667,0.954545454545455,1.06666666666667,8.48
Northern Illinois,Ball State,6,2019,0,0,NA,NA,NA,NA,NA,NA,3.73,7,NA,NA,NA,NA,1,NA,NA,NA,NA
Toledo,Ball State,13,2020,1,0,-357,280,-10,-105,10,-113,-11.64,3,0,1,0,0,0,0,0.976190476190476,0,1.64
Penn State,Ball State,2,2021,1,1,NA,NA,NA,NA,NA,NA,-5.3,-31,NA,NA,NA,NA,1,NA,NA,NA,NA
Georgia Southern,Ball State,4,2022,1,1,-335,255,-9.5,-110,9.5,-110,-17.03,-11,0,0,1,1.90909090909091,1,1.29850746268657,0.954545454545455,1.29850746268657,7.53
Central Michigan,Ball State,6,2022,1,0,-280,225,-7.5,-113,7.5,-110,-1.58,1,1,1,1,1.88495575221239,0,0,0.942477876106195,0,5.92
Toledo,Ball State,11,2022,1,1,-637,432,-14,-110,14,-110,-9.89,-7,1,1,1,1.90909090909091,1,1.15698587127159,0.954545454545455,1.15698587127159,4.11
Miami (OH),Ball State,13,2022,1,1,-136,113,-2.5,-110,2.5,-110,-6.34,-1,0,1,0,0,1,1.73529411764706,0.954545454545455,1.73529411764706,3.84
Northern Illinois,Ball State,11,2023,1,0,NA,NA,NA,NA,NA,NA,-8.86,3,NA,NA,NA,NA,0,0,NA,NA,NA
James Madison,Ball State,5,2024,1,1,-1600,900,-22,-109,22,-111,-20.72,-56,1,0,0,0,1,1.0625,0.950450450450451,1.0625,1.28
Iowa State,Baylor,5,2014,0,0,NA,NA,NA,NA,NA,NA,23.71,21,NA,NA,NA,NA,1,NA,NA,NA,NA
Kansas,Baylor,6,2015,0,0,NA,NA,NA,NA,NA,NA,23.68,59,NA,NA,NA,NA,1,NA,NA,NA,NA
TCU,Baylor,11,2019,0,0,105,-125,2,-110,-2,-110,6.63,6,1,1,1,1.90909090909091,1,1.8,0.954545454545455,1.8,4.63
Kansas,Baylor,14,2019,0,0,427,-589,14,-110,-14,-110,11.71,55,0,1,0,0,1,1.16977928692699,0.954545454545455,1.16977928692699,2.29
Texas Tech,Baylor,11,2020,0,1,-109,-112,0,-107,0,-113,4.25,-1,1,0,0,0,0,0,0.942477876106195,0,4.25
Oklahoma,Baylor,14,2020,1,1,-1667,900,-23.5,-110,23.5,-110,-25.82,-13,0,1,0,0,1,1.05998800239952,0.954545454545455,1.05998800239952,2.32
TCU,Baylor,10,2021,0,1,NA,NA,NA,NA,NA,NA,14.63,-2,NA,NA,NA,NA,0,0,NA,NA,NA
West Virginia,Baylor,7,2022,1,1,128,-160,3.5,-113,-3.5,-108,-0.23,-3,0,0,1,1.92592592592593,1,2.28,0.962962962962963,0,3.73
UCF,Baylor,5,2023,1,0,-325,255,-8,-112,8,-112,-14.64,1,0,1,0,0,0,0,0.946428571428571,0,6.64
Kansas State,Baylor,11,2023,1,1,-1600,860,-21,-111,21,-113,-15.92,-34,1,0,0,0,1,1.0625,0.942477876106195,1.0625,5.08
TCU,Baylor,12,2023,1,1,-575,395,-13,-115,13,-110,-9.19,-25,1,0,0,0,1,1.17391304347826,0.954545454545455,1.17391304347826,3.81
Air Force,Boise State,5,2014,1,1,NA,NA,NA,NA,NA,NA,-4.25,-14,NA,NA,NA,NA,1,NA,NA,NA,NA
Nevada,Boise State,6,2014,0,0,NA,NA,NA,NA,NA,NA,2.56,5,NA,NA,NA,NA,1,NA,NA,NA,NA
