"","game_id","season","week","season_type","completed","neutral_site","conference_game","t1_team","t1_conference","t1_division","t1_points","total_points","t1_point_diff","t1_win","t1_home","t1_rol_record_l3","t1_rol_record_yr","t1_rol_points_pg_l3","t1_rol_pa_pg_l3","t1_rol_points_pg_yr","t1_rol_pa_pg_yr","t1_ rol_turnover_pg_off","t1_ rol_touchdown_pg_off","t1_ rol_sack_pg_off","t1_ rol_punt_pg_off","t1_ rol_fg_made_pg_off","t1_ rol_penalty_flag_pg_off","t1_ rol_turnover_pg_def","t1_ rol_touchdown_pg_def","t1_ rol_sack_pg_def","t1_ rol_punt_pg_def","t1_ rol_fg_made_pg_def","t1_ rol_penalty_flag_pg_def","t1_ rol_EPA_pp_off","t1_ rol_wpa_pp_off","t1_ rol_success_pp_off","t1_ rol_EPA_pp_def","t1_ rol_wpa_pp_def","t1_ rol_success_pp_def","t1_ rol_rz_EPA_pp_off","t1_ rol_rz_wpa_pp_off","t1_ rol_rz_success_pp_off","t1_ rol_rz_EPA_pp_def","t1_ rol_rz_wpa_pp_def","t1_ rol_rz_success_pp_def","t1_ rol_run_EPA_pp_off","t1_ rol_run_wpa_pp_off","t1_ rol_run_success_pp_off","t1_ rol_run_EPA_pp_def","t1_ rol_run_wpa_pp_def","t1_ rol_run_success_pp_def","t1_ rol_pass_EPA_pp_off","t1_ rol_pass_wpa_pp_off","t1_ rol_pass_success_pp_off","t1_ rol_pass_EPA_pp_def","t1_ rol_pass_wpa_pp_def","t1_ rol_pass_success_pp_def"
"1",NA,2024,20,NA,NA,NA,NA,"Air Force","Mountain West",NA,NA,NA,NA,NA,1,1,0.5,27,13,22.125,24.25,1.33333333333333,3.66666666666667,0.333333333333333,1.66666666666667,0.333333333333333,2.66666666666667,2.66666666666667,1.66666666666667,3.33333333333333,3.33333333333333,0.666666666666667,2.66666666666667,0.207907735746923,0.00979770234741784,0.517857142857143,0.0129041932440927,0.00225672173913043,0.367149758454106,0.321796152230441,0.0130813542857143,0.621621621621622,0.373160429307394,-0.00545875862068966,0.433333333333333,0.0997779554742984,0.00536825988700565,0.543478260869565,0.0126781510040081,0.000711624324324324,0.378378378378378,2.17151301485424,0.0712959818181818,0.727272727272727,-0.0232555309655107,-0.000397968367346939,0.377551020408163
"2",NA,2024,20,NA,NA,NA,NA,"Akron","Mid-American",NA,NA,NA,NA,NA,1,0.666666666666667,0.428571428571429,25,20,24.8571428571429,26.1428571428571,1.66666666666667,2.33333333333333,2,5.66666666666667,1.33333333333333,7,2.33333333333333,3,1.66666666666667,6.66666666666667,0.666666666666667,8,-0.0579814399163303,-0.00225912421875,0.363984674329502,-0.0861060823816243,0.000370735593220339,0.354838709677419,-0.122680664190091,0.0021922,0.333333333333333,-0.754139060264286,-0.0249125956521739,0.32258064516129,0.0665339203525109,0.00342509157894737,0.45360824742268,-0.134167574894924,-0.001921196875,0.368932038834951,-0.198336339651454,-0.0065808,0.285714285714286,0.374795590999873,0.0188669904761905,0.459770114942529
"3",NA,2024,20,NA,NA,NA,NA,"Alabama","SEC",NA,NA,NA,NA,NA,1,0.666666666666667,0.625,27.6666666666667,15,29.75,18.375,2.33333333333333,3.66666666666667,0.666666666666667,3,0.666666666666667,5.66666666666667,2.66666666666667,1.66666666666667,1,4.33333333333333,1,4.33333333333333,0.0339480367092725,0.0014356881147541,0.428,-0.128766658937047,-0.00145426103286385,0.36986301369863,0.474092452194234,0.00589308333333333,0.6,-0.184881358727629,-0.00903439117647059,0.333333333333333,-0.0647309724975808,-0.00117646967213115,0.435483870967742,-0.130966757023371,-0.00267096956521739,0.408602150537634,0.106059831358907,0.00278550348837209,0.5,-0.0847382836102287,-0.00199559066666667,0.423076923076923
"4",NA,2024,20,NA,NA,NA,NA,"App State","Sun Belt",NA,NA,NA,NA,NA,1,0.333333333333333,0.428571428571429,26,29,28.5714285714286,31.2857142857143,3.66666666666667,3,1.66666666666667,2.66666666666667,1,5,2.66666666666667,4,2.33333333333333,3.66666666666667,1,6,0.00807087728552571,0.00104458524590164,0.424,-0.00250697974330416,0.0040547487394958,0.413934426229508,-0.259905754663673,-0.0104157666666667,0.38,0.154698859134931,0.014315025,0.46875,0.063172792504357,0.00122801851851852,0.477477477477477,0.095438085515891,0.00629936363636364,0.469026548672566,-0.0410312540711409,-0.000575638043478261,0.404255319148936,0.0120914707474034,0.00424021851851852,0.439024390243902
"5",NA,2024,20,NA,NA,NA,NA,"Arizona","Big 12",NA,NA,NA,NA,NA,1,0.333333333333333,0.125,20.6666666666667,33.6666666666667,18.5,36.375,2,2,2.66666666666667,5,1.33333333333333,3.66666666666667,3.33333333333333,5,1.66666666666667,2.33333333333333,0.333333333333333,4,-0.0369660772643806,0.000644680165289256,0.351020408163265,0.0501519014097376,0.00237931627906977,0.4,0.27246105923983,-0.00205403636363636,0.454545454545455,0.421233692635285,0.0108259538461538,0.576923076923077,-0.125764815571313,-0.00250894266666667,0.421052631578947,0.101793547895723,0.00239992857142857,0.445544554455446,-0.028378173980021,-3.18466666666666e-05,0.366666666666667,0.157707728220788,0.00157870823529412,0.447058823529412
"6",NA,2024,20,NA,NA,NA,NA,"Arizona State","Big 12",NA,NA,NA,NA,NA,1,1,0.888888888888889,40.6666666666667,16.3333333333333,33.2222222222222,21,2,5.66666666666667,1,1.33333333333333,0.333333333333333,4.33333333333333,3.66666666666667,2,1,3,1,6.66666666666667,0.251535824321123,0.00731408215962441,0.479452054794521,0.0141783249691157,-0.000183301659751037,0.423868312757202,0.311494138486024,0.0110235181818182,0.590909090909091,-0.0789291050258939,0.00241564324324324,0.447368421052632,0.194085957357172,0.00692775593220339,0.525,-0.0943912843450545,-0.000199356962025316,0.455696202531646,0.500482358734897,0.0115461691176471,0.550724637681159,-0.0178290430925544,0.000316956880733945,0.436363636363636
"7",NA,2024,20,NA,NA,NA,NA,"Arkansas","SEC",NA,NA,NA,NA,NA,1,0.333333333333333,0.428571428571429,22,20.6666666666667,26.2857142857143,28.2857142857143,2.66666666666667,3,2.66666666666667,5,0.333333333333333,4.66666666666667,1,2.33333333333333,1.66666666666667,6,1.33333333333333,5.66666666666667,-0.0867965291667793,-0.00083768755186722,0.45748987854251,-0.0676218717074675,-0.000776850375939849,0.358208955223881,0.81434073101345,0.0251257761904762,0.80952380952381,0.140931264344949,0.0026719914893617,0.382978723404255,0.111591089805349,0.00108638541666667,0.591836734693878,-0.0779830409372716,-0.000147301769911504,0.394736842105263,-0.168478528949847,-0.0019423625,0.415094339622642,-0.024862936534345,-0.000759847058823529,0.352941176470588
"8",NA,2024,20,NA,NA,NA,NA,"Arkansas State","Sun Belt",NA,NA,NA,NA,NA,1,0.666666666666667,0.625,29,27,26.375,31.5,1.33333333333333,3.66666666666667,4,4.33333333333333,1,5.66666666666667,2.33333333333333,3.66666666666667,2,4,0.666666666666667,7.33333333333333,0.101527517639828,0.000254550617283951,0.396825396825397,0.0731013962411487,-0.00176995611814346,0.413934426229508,0.616289991983378,0.0106926653846154,0.5,0.0286125069228011,-0.001054875,0.538461538461538,0.15402868201019,0.00873513727272727,0.482142857142857,0.20903020565983,0.000788334653465346,0.5,0.0126323981176542,-0.00922757816091954,0.32967032967033,-0.045229282229217,-0.00293116627906977,0.340909090909091
"9",NA,2024,20,NA,NA,NA,NA,"Army","American Athletic",NA,NA,NA,NA,NA,1,0.666666666666667,0.777777777777778,25.6666666666667,23,29.2222222222222,18.7777777777778,3,3.33333333333333,1,1.66666666666667,1,3.33333333333333,4,4,0.666666666666667,0.666666666666667,0.333333333333333,3,0.0594472587906555,0.00295097510917031,0.404255319148936,0.0853477284774155,0.000815196111111111,0.502732240437158,0.334437185435257,0.00193885135135135,0.513513513513513,-0.108591985794882,-0.00386508974358974,0.333333333333333,0.0511627525524751,0.00134056666666667,0.426900584795322,0.130411878225555,-0.00192036419753086,0.5,0.298659226636943,0.0132676967741935,0.387096774193548,0.282868335441627,0.00444940555555556,0.541666666666667
"10",NA,2024,20,NA,NA,NA,NA,"Auburn","SEC",NA,NA,NA,NA,NA,1,0.666666666666667,0.428571428571429,35,27.6666666666667,23.7142857142857,23.1428571428571,2.33333333333333,4,1,3.66666666666667,1.66666666666667,6,3,3.66666666666667,2.33333333333333,4.66666666666667,0.333333333333333,4,0.0516868157026687,-0.00118621943319838,0.431297709923664,-0.00837541803172825,0.00111390809716599,0.367816091954023,0.0375149082704444,-0.00965510625,0.37037037037037,0.669191686684049,0.0112831166666667,0.551724137931034,-0.00188469736345651,0.00447211827956989,0.505050505050505,-0.0696315293322587,-4.63898437499999e-05,0.390977443609023,0.219830781872265,0.00114623055555556,0.424778761061947,0.186817004460175,0.00269044743589744,0.451219512195122
